id,company,name,taurine,cost,costperml,calories,voulume,vml,sodium,sugar,caffeine,b3,b8,b6,b5,b12,b9,b7,c
8,Adrenaline,game fuel,120,480,19,42,0.449,449,0,10.5,34,3.40,,0.38,1.20,0.19,,,
5,Adrenaline,rush,240,480,19,54,0.449,449,0,12.5,30,,,,,,,,
,Adrenaline,strong,120,316,23,44,0.25,250,,10.5,30,3.40,,0.38,1.20,0.19,,,
12,Bizon,power,34,320,12,50,0.5,500,0,12.5,30,,,,,,,,
23,Dizzy,original,32,310,17,50,0.33,330,0,11.2,30,,,,,,,,
21,Drive,berry kick,44,289,12,26,0.449,449,40,6.9,30,,,,,,,,
19,Drive,nitro,44,289,12,28,0.449,449,0,7,30,3.00,,0.36,,0.42,,,
4,Drive,original,10,289,12,43,0.449,449,0,10.5,30,2.16,,0.24,0.72,,24.00,,
,Extreme,Tornado classic,30,319,8,50,0.7,700,,12,32,6.00,,0.60,2.00,,,,50.00
,Extreme,Tornado ice,9,319,8,50,0.7,700,,12,30,6.40,,0.56,2.00,1.00,,,
,Extreme,tornado mojito,26,319,8,45,0.7,700,,10.5,28,6.80,17.00,1.70,1.70,1.70,,,
7,Flash,berry mix,120,266,11,50,0.45,450,10.64,12,26.11111,5.91,,0.60,1.51,,48.31,60.00,
18,Flash,classic,120,290,12,50,0.45,450,6,12.5,27,6.00,,0.60,1.50,,53.00,,25.00
20,Flash,mojito,120,266,11,45,0.45,450,3.3,11,27,3.30,,0.40,1.90,0.22,82.50,29.70,
17,Flash,ultra,33,290,12,50,0.45,450,6,12.5,34,,,,,,,,
10,Forsage,fruit,240,311,11,50,0.5,500,0,12,30,,,,,,,,
9,Forsage,original,34,311,11,50,0.5,500,0,12.5,30,,,,,,,,
,Gorilla,lychee,0,325,13,50,0.45,450,,12,30,2.88,,0.32,0.96,0.16,45.00,24.00,
16,Gorilla,mango,0,317,13,54,0.45,450,0,13.5,30,,,0.75,1.06,0.83,,29.00,
13,Gorilla,power tea,0,317,13,30,0.45,450,0,8,31,2.88,,0.32,0.96,0.16,45.20,24.00,
3,Lotte,hot6,160,480,35,46,0.25,250,11.2,11.6,24,,,,,,,,
,Redbull,red,400,493,36,45,0.25,250,,11,30,8.00,,2.00,2.00,2.00,,,
,Redbull,white,400,493,36,45,0.25,250,,11,30,8.00,,2.00,2.00,2.00,,,
,Redbull,yelow,400,493,36,45,0.25,250,,11,30,8.00,,2.00,2.00,2.00,,,
15,RG brands,yeti,0,333,12,51,0.5,500,0,13,30,1.80,,0.20,0.60,0.10,20.00,50.00,
,Sova,orange,200,223,8,50,0.5,500,,12,30,1.90,,0.20,1.10,,30.00,,7.50
11,Tornado,active,40,317,13,45,0.45,450,0,10.9,30,1.10,,0.14,0.60,,20.00,,
6,Tornado,ice,40,301,12,41,0.45,450,0,10.1,30,,,,,,,,
14,World of tanks,green,199.5,347,14,51,0.45,450,0,12.7,30,1.68,1.95,0.24,0.60,0.39,,,12.00
22,World of tanks,orange,40,371,15,48,0.45,450,0,12,30,1.44,2.00,0.20,0.30,0.30,,,
